date,agegrp,covid_deaths
2020-03-15 00:00:00,80+,1
2020-03-16 00:00:00,60-69,1
2020-03-17 00:00:00,70-79,1
2020-03-17 00:00:00,80+,1
2020-03-18 00:00:00,80+,1
2020-03-20 00:00:00,50-59,1
2020-03-20 00:00:00,70-79,2
2020-03-20 00:00:00,80+,1
2020-03-21 00:00:00,70-79,1
2020-03-21 00:00:00,80+,4
2020-03-22 00:00:00,30-39,1
2020-03-22 00:00:00,50-59,1
2020-03-22 00:00:00,60-69,1
2020-03-22 00:00:00,70-79,2
2020-03-23 00:00:00,50-59,2
2020-03-23 00:00:00,70-79,1
2020-03-23 00:00:00,80+,2
2020-03-24 00:00:00,50-59,1
2020-03-24 00:00:00,60-69,3
2020-03-24 00:00:00,80+,1
2020-03-25 00:00:00,70-79,2
2020-03-25 00:00:00,80+,4
2020-03-26 00:00:00,50-59,2
2020-03-26 00:00:00,60-69,1
2020-03-26 00:00:00,70-79,1
2020-03-26 00:00:00,80+,5
2020-03-27 00:00:00,70-79,1
2020-03-27 00:00:00,80+,2
2020-03-28 00:00:00,60-69,5
2020-03-28 00:00:00,70-79,4
2020-03-28 00:00:00,80+,2
2020-03-29 00:00:00,50-59,1
2020-03-29 00:00:00,60-69,2
2020-03-29 00:00:00,70-79,5
2020-03-29 00:00:00,80+,10
2020-03-30 00:00:00,50-59,1
2020-03-30 00:00:00,60-69,5
2020-03-30 00:00:00,70-79,5
2020-03-30 00:00:00,80+,4
2020-03-31 00:00:00,30-39,1
2020-03-31 00:00:00,40-49,2
2020-03-31 00:00:00,50-59,4
2020-03-31 00:00:00,60-69,3
2020-03-31 00:00:00,70-79,8
2020-03-31 00:00:00,80+,4
2020-04-01 00:00:00,30-39,1
2020-04-01 00:00:00,60-69,4
2020-04-01 00:00:00,70-79,6
2020-04-01 00:00:00,80+,11
2020-04-02 00:00:00,40-49,1
2020-04-02 00:00:00,60-69,8
2020-04-02 00:00:00,70-79,4
2020-04-02 00:00:00,80+,9
2020-04-03 00:00:00,30-39,1
2020-04-03 00:00:00,50-59,2
2020-04-03 00:00:00,60-69,9
2020-04-03 00:00:00,70-79,14
2020-04-03 00:00:00,80+,6
2020-04-04 00:00:00,50-59,2
2020-04-04 00:00:00,60-69,4
2020-04-04 00:00:00,70-79,8
2020-04-04 00:00:00,80+,11
2020-04-05 00:00:00,40-49,2
2020-04-05 00:00:00,50-59,4
2020-04-05 00:00:00,60-69,7
2020-04-05 00:00:00,70-79,5
2020-04-05 00:00:00,80+,16
2020-04-06 00:00:00,30-39,1
2020-04-06 00:00:00,40-49,2
2020-04-06 00:00:00,50-59,2
2020-04-06 00:00:00,60-69,4
2020-04-06 00:00:00,70-79,7
2020-04-06 00:00:00,80+,9
2020-04-07 00:00:00,30-39,1
2020-04-07 00:00:00,50-59,2
2020-04-07 00:00:00,60-69,6
2020-04-07 00:00:00,70-79,11
2020-04-07 00:00:00,80+,16
2020-04-08 00:00:00,40-49,1
2020-04-08 00:00:00,50-59,2
2020-04-08 00:00:00,60-69,5
2020-04-08 00:00:00,70-79,7
2020-04-08 00:00:00,80+,14
2020-04-09 00:00:00,40-49,1
2020-04-09 00:00:00,50-59,1
2020-04-09 00:00:00,60-69,9
2020-04-09 00:00:00,70-79,11
2020-04-09 00:00:00,80+,15
2020-04-10 00:00:00,40-49,1
2020-04-10 00:00:00,50-59,1
2020-04-10 00:00:00,60-69,7
2020-04-10 00:00:00,70-79,2
2020-04-10 00:00:00,80+,14
2020-04-11 00:00:00,50-59,2
2020-04-11 00:00:00,60-69,4
2020-04-11 00:00:00,70-79,5
2020-04-11 00:00:00,80+,9
2020-04-12 00:00:00,40-49,2
2020-04-12 00:00:00,50-59,4
2020-04-12 00:00:00,60-69,4
2020-04-12 00:00:00,70-79,6
2020-04-12 00:00:00,80+,13
2020-04-13 00:00:00,40-49,1
2020-04-13 00:00:00,50-59,1
2020-04-13 00:00:00,60-69,8
2020-04-13 00:00:00,70-79,14
2020-04-13 00:00:00,80+,11
2020-04-14 00:00:00,40-49,2
2020-04-14 00:00:00,50-59,2
2020-04-14 00:00:00,60-69,10
2020-04-14 00:00:00,70-79,13
2020-04-14 00:00:00,80+,19
2020-04-15 00:00:00,50-59,1
2020-04-15 00:00:00,60-69,8
2020-04-15 00:00:00,70-79,12
2020-04-15 00:00:00,80+,17
2020-04-16 00:00:00,40-49,1
2020-04-16 00:00:00,50-59,1
2020-04-16 00:00:00,60-69,7
2020-04-16 00:00:00,70-79,4
2020-04-16 00:00:00,80+,21
2020-04-17 00:00:00,20-29,2
2020-04-17 00:00:00,50-59,1
2020-04-17 00:00:00,60-69,5
2020-04-17 00:00:00,70-79,11
2020-04-17 00:00:00,80+,17
2020-04-18 00:00:00,40-49,1
2020-04-18 00:00:00,50-59,3
2020-04-18 00:00:00,60-69,3
2020-04-18 00:00:00,70-79,7
2020-04-18 00:00:00,80+,14
2020-04-19 00:00:00,40-49,1
2020-04-19 00:00:00,50-59,1
2020-04-19 00:00:00,60-69,6
2020-04-19 00:00:00,70-79,9
2020-04-19 00:00:00,80+,20
2020-04-20 00:00:00,30-39,1
2020-04-20 00:00:00,50-59,1
2020-04-20 00:00:00,60-69,9
2020-04-20 00:00:00,70-79,7
2020-04-20 00:00:00,80+,20
2020-04-21 00:00:00,30-39,1
2020-04-21 00:00:00,50-59,3
2020-04-21 00:00:00,60-69,6
2020-04-21 00:00:00,70-79,15
2020-04-21 00:00:00,80+,24
2020-04-22 00:00:00,40-49,1
2020-04-22 00:00:00,50-59,2
2020-04-22 00:00:00,60-69,3
2020-04-22 00:00:00,70-79,17
2020-04-22 00:00:00,80+,27
2020-04-23 00:00:00,50-59,2
2020-04-23 00:00:00,60-69,4
2020-04-23 00:00:00,70-79,7
2020-04-23 00:00:00,80+,25
2020-04-24 00:00:00,30-39,1
2020-04-24 00:00:00,40-49,1
2020-04-24 00:00:00,50-59,2
2020-04-24 00:00:00,60-69,2
2020-04-24 00:00:00,70-79,13
2020-04-24 00:00:00,80+,18
2020-04-25 00:00:00,50-59,3
2020-04-25 00:00:00,60-69,10
2020-04-25 00:00:00,70-79,11
2020-04-25 00:00:00,80+,17
2020-04-26 00:00:00,50-59,1
2020-04-26 00:00:00,60-69,5
2020-04-26 00:00:00,70-79,11
2020-04-26 00:00:00,80+,17
2020-04-27 00:00:00,0-19,1
2020-04-27 00:00:00,30-39,1
2020-04-27 00:00:00,40-49,1
2020-04-27 00:00:00,50-59,3
2020-04-27 00:00:00,60-69,3
2020-04-27 00:00:00,70-79,10
2020-04-27 00:00:00,80+,23
2020-04-28 00:00:00,30-39,1
2020-04-28 00:00:00,40-49,1
2020-04-28 00:00:00,50-59,1
2020-04-28 00:00:00,60-69,2
2020-04-28 00:00:00,70-79,5
2020-04-28 00:00:00,80+,24
2020-04-29 00:00:00,50-59,5
2020-04-29 00:00:00,60-69,7
2020-04-29 00:00:00,70-79,11
2020-04-29 00:00:00,80+,20
2020-04-30 00:00:00,60-69,7
2020-04-30 00:00:00,70-79,8
2020-04-30 00:00:00,80+,30
2020-05-01 00:00:00,50-59,3
2020-05-01 00:00:00,60-69,6
2020-05-01 00:00:00,70-79,5
2020-05-01 00:00:00,80+,22
2020-05-02 00:00:00,40-49,3
2020-05-02 00:00:00,50-59,1
2020-05-02 00:00:00,60-69,3
2020-05-02 00:00:00,70-79,9
2020-05-02 00:00:00,80+,28
2020-05-03 00:00:00,60-69,3
2020-05-03 00:00:00,70-79,7
2020-05-03 00:00:00,80+,22
2020-05-04 00:00:00,40-49,2
2020-05-04 00:00:00,50-59,2
2020-05-04 00:00:00,60-69,6
2020-05-04 00:00:00,70-79,13
2020-05-04 00:00:00,80+,15
2020-05-05 00:00:00,30-39,1
2020-05-05 00:00:00,50-59,2
2020-05-05 00:00:00,60-69,5
2020-05-05 00:00:00,70-79,6
2020-05-05 00:00:00,80+,24
2020-05-06 00:00:00,20-29,1
2020-05-06 00:00:00,30-39,1
2020-05-06 00:00:00,40-49,1
2020-05-06 00:00:00,50-59,3
2020-05-06 00:00:00,60-69,7
2020-05-06 00:00:00,70-79,12
2020-05-06 00:00:00,80+,18
2020-05-07 00:00:00,50-59,3
2020-05-07 00:00:00,60-69,5
2020-05-07 00:00:00,70-79,8
2020-05-07 00:00:00,80+,18
2020-05-08 00:00:00,50-59,2
2020-05-08 00:00:00,60-69,8
2020-05-08 00:00:00,70-79,1
2020-05-08 00:00:00,80+,14
2020-05-09 00:00:00,60-69,5
2020-05-09 00:00:00,70-79,9
2020-05-09 00:00:00,80+,18
2020-05-10 00:00:00,20-29,1
2020-05-10 00:00:00,50-59,2
2020-05-10 00:00:00,60-69,3
2020-05-10 00:00:00,70-79,6
2020-05-10 00:00:00,80+,22
2020-05-11 00:00:00,40-49,2
2020-05-11 00:00:00,50-59,3
2020-05-11 00:00:00,60-69,5
2020-05-11 00:00:00,70-79,9
2020-05-11 00:00:00,80+,22
2020-05-12 00:00:00,0-19,1
2020-05-12 00:00:00,40-49,1
2020-05-12 00:00:00,50-59,2
2020-05-12 00:00:00,60-69,6
2020-05-12 00:00:00,70-79,4
2020-05-12 00:00:00,80+,24
2020-05-13 00:00:00,40-49,1
2020-05-13 00:00:00,50-59,2
2020-05-13 00:00:00,60-69,6
2020-05-13 00:00:00,70-79,5
2020-05-13 00:00:00,80+,12
2020-05-14 00:00:00,50-59,3
2020-05-14 00:00:00,60-69,5
2020-05-14 00:00:00,70-79,7
2020-05-14 00:00:00,80+,27
2020-05-15 00:00:00,40-49,1
2020-05-15 00:00:00,60-69,6
2020-05-15 00:00:00,70-79,5
2020-05-15 00:00:00,80+,20
2020-05-16 00:00:00,40-49,2
2020-05-16 00:00:00,60-69,5
2020-05-16 00:00:00,70-79,8
2020-05-16 00:00:00,80+,13
2020-05-17 00:00:00,20-29,1
2020-05-17 00:00:00,30-39,1
2020-05-17 00:00:00,50-59,1
2020-05-17 00:00:00,60-69,4
2020-05-17 00:00:00,70-79,6
2020-05-17 00:00:00,80+,17
2020-05-18 00:00:00,50-59,2
2020-05-18 00:00:00,60-69,5
2020-05-18 00:00:00,70-79,9
2020-05-18 00:00:00,80+,23
2020-05-19 00:00:00,40-49,1
2020-05-19 00:00:00,50-59,1
2020-05-19 00:00:00,60-69,5
2020-05-19 00:00:00,70-79,6
2020-05-19 00:00:00,80+,16
2020-05-20 00:00:00,40-49,2
2020-05-20 00:00:00,60-69,3
2020-05-20 00:00:00,70-79,5
2020-05-20 00:00:00,80+,21
2020-05-21 00:00:00,40-49,1
2020-05-21 00:00:00,60-69,4
2020-05-21 00:00:00,70-79,12
2020-05-21 00:00:00,80+,19
2020-05-22 00:00:00,50-59,4
2020-05-22 00:00:00,60-69,3
2020-05-22 00:00:00,70-79,6
2020-05-22 00:00:00,80+,5
2020-05-23 00:00:00,50-59,3
2020-05-23 00:00:00,60-69,4
2020-05-23 00:00:00,70-79,4
2020-05-23 00:00:00,80+,13
2020-05-24 00:00:00,60-69,1
2020-05-24 00:00:00,70-79,8
2020-05-24 00:00:00,80+,6
2020-05-25 00:00:00,30-39,1
2020-05-25 00:00:00,60-69,3
2020-05-25 00:00:00,70-79,6
2020-05-25 00:00:00,80+,11
2020-05-26 00:00:00,50-59,1
2020-05-26 00:00:00,60-69,3
2020-05-26 00:00:00,70-79,5
2020-05-26 00:00:00,80+,10
2020-05-27 00:00:00,70-79,7
2020-05-27 00:00:00,80+,7
2020-05-28 00:00:00,50-59,2
2020-05-28 00:00:00,60-69,3
2020-05-28 00:00:00,70-79,3
2020-05-28 00:00:00,80+,10
2020-05-29 00:00:00,50-59,2
2020-05-29 00:00:00,60-69,5
2020-05-29 00:00:00,70-79,1
2020-05-29 00:00:00,80+,13
2020-05-30 00:00:00,60-69,3
2020-05-30 00:00:00,70-79,6
2020-05-30 00:00:00,80+,12
2020-05-31 00:00:00,40-49,1
2020-05-31 00:00:00,60-69,2
2020-05-31 00:00:00,70-79,1
2020-05-31 00:00:00,80+,11
2020-06-01 00:00:00,40-49,1
2020-06-01 00:00:00,60-69,3
2020-06-01 00:00:00,70-79,4
2020-06-01 00:00:00,80+,12
2020-06-02 00:00:00,50-59,1
2020-06-02 00:00:00,60-69,2
2020-06-02 00:00:00,70-79,4
2020-06-02 00:00:00,80+,8
2020-06-03 00:00:00,50-59,1
2020-06-03 00:00:00,60-69,8
2020-06-03 00:00:00,70-79,5
2020-06-03 00:00:00,80+,10
2020-06-04 00:00:00,40-49,1
2020-06-04 00:00:00,60-69,5
2020-06-04 00:00:00,70-79,4
2020-06-04 00:00:00,80+,12
2020-06-05 00:00:00,40-49,1
2020-06-05 00:00:00,50-59,2
2020-06-05 00:00:00,60-69,6
2020-06-05 00:00:00,70-79,5
2020-06-05 00:00:00,80+,7
2020-06-06 00:00:00,60-69,2
2020-06-06 00:00:00,70-79,1
2020-06-06 00:00:00,80+,5
2020-06-07 00:00:00,60-69,2
2020-06-07 00:00:00,70-79,6
2020-06-07 00:00:00,80+,7
2020-06-08 00:00:00,60-69,2
2020-06-08 00:00:00,70-79,5
2020-06-08 00:00:00,80+,9
2020-06-09 00:00:00,60-69,6
2020-06-09 00:00:00,70-79,5
2020-06-09 00:00:00,80+,12
2020-06-10 00:00:00,30-39,1
2020-06-10 00:00:00,60-69,1
2020-06-10 00:00:00,70-79,4
2020-06-10 00:00:00,80+,11
2020-06-11 00:00:00,50-59,2
2020-06-11 00:00:00,60-69,2
2020-06-11 00:00:00,70-79,4
2020-06-11 00:00:00,80+,7
2020-06-12 00:00:00,50-59,1
2020-06-12 00:00:00,60-69,3
2020-06-12 00:00:00,70-79,3
2020-06-12 00:00:00,80+,6
2020-06-13 00:00:00,40-49,1
2020-06-13 00:00:00,60-69,2
2020-06-13 00:00:00,70-79,4
2020-06-13 00:00:00,80+,2
2020-06-14 00:00:00,50-59,1
2020-06-14 00:00:00,60-69,1
2020-06-14 00:00:00,70-79,7
2020-06-14 00:00:00,80+,12
2020-06-15 00:00:00,30-39,1
2020-06-15 00:00:00,60-69,3
2020-06-15 00:00:00,70-79,1
2020-06-15 00:00:00,80+,8
2020-06-16 00:00:00,50-59,1
2020-06-16 00:00:00,60-69,3
2020-06-16 00:00:00,70-79,7
2020-06-16 00:00:00,80+,2
2020-06-17 00:00:00,50-59,1
2020-06-17 00:00:00,60-69,3
2020-06-17 00:00:00,70-79,4
2020-06-17 00:00:00,80+,9
2020-06-18 00:00:00,60-69,4
2020-06-18 00:00:00,70-79,8
